gtin,category
5.00023E+12,fruit_veg
5.00039E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
50191413,fruit_veg
3012567,sauces
5.00018E+12,sauces
5.00035E+12,sauces
5.01101E+12,sauces
5.03604E+12,sauces
5.05179E+12,sauces
5.00035E+12,sauces
5.05067E+12,sauces
5.05701E+12,sauces
5.01002E+12,sauces
5.03604E+12,sauces
5.01101E+12,sauces
5.01179E+12,sauces
5.011E+12,sauces
5.05067E+12,sauces
5.01002E+12,sauces
5.03604E+12,sauces
5.01999E+12,sauces
5.01002E+12,sauces
5.00035E+12,sauces
5.01002E+12,sauces
5.01002E+12,sauces
5.01837E+12,sauces
5.05067E+12,sauces
5.0519E+12,sauces
5.00035E+12,sauces
5.01101E+12,sauces
5.00035E+12,sauces
5.01002E+12,sauces
5.01002E+12,sauces
5.00036E+12,sauces
5.03604E+12,sauces
5.03604E+12,sauces
5.05067E+12,sauces
5.011E+12,sauces
5.01101E+12,sauces
5.01101E+12,sauces
5.01101E+12,sauces
5.05101E+12,sauces
5.00035E+12,sauces
5.05067E+12,sauces
5.01002E+12,sauces
5.01002E+12,sauces
5.01101E+12,sauces
5.01837E+12,sauces
5.01002E+12,sauces
5.05701E+12,sauces
5.05701E+12,sauces
5.00035E+12,sauces
5.05067E+12,sauces
5.05232E+12,sauces
5.05232E+12,sauces
5.01011E+12,sauces
5.01011E+12,sauces
5.01002E+12,sauces
5.01002E+12,sauces
5.00035E+12,sauces
5.01837E+12,sauces
5.05179E+12,sauces
5.01101E+12,sauces
5.00035E+12,sauces
5.01782E+12,sauces
5.03604E+12,sauces
5.03604E+12,sauces
3013540,fats_oils
50102259,fats_oils
50102747,fats_oils
50102754,fats_oils
50232208,fats_oils
5.00012E+12,fats_oils
5.00016E+12,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
50102310,fats_oils
96096574,fats_oils
96096581,fats_oils
5.00023E+12,fats_oils
5.00012E+12,fats_oils
5.00023E+12,fats_oils
5.00012E+12,fats_oils
5.00012E+12,fats_oils
50102730,fats_oils
50967513,fats_oils
50102372,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
3016671,fats_oils
5.00023E+12,fats_oils
5.00044E+12,fats_oils
5.00044E+12,fats_oils
5.00044E+12,fats_oils
3013588,fats_oils
5.00012E+12,fats_oils
50102334,fats_oils
50102228,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
5.00023E+12,fats_oils
3014103,grains
5.00044E+12,grains
5.01004E+12,grains
5.05291E+12,grains
5.0544E+12,grains
5.09927E+12,grains
5.06009E+12,grains
5.09927E+12,grains
5.0544E+12,grains
5.02155E+12,grains
5.09927E+12,grains
5.00012E+12,grains
5.39151E+12,grains
5.0544E+12,grains
5.06009E+12,grains
5.00012E+12,grains
5.0544E+12,grains
5.09927E+12,grains
5.09927E+12,grains
8.88827E+12,grains
5.05114E+12,grains
5.06002E+12,grains
5.06002E+12,grains
5.01004E+12,grains
5.05179E+12,grains
5.05179E+12,grains
5.09908E+12,grains
5.06009E+12,grains
5.01837E+12,grains
5.39151E+12,grains
5.39151E+12,grains
5.39151E+12,grains
5.0544E+12,grains
5.0544E+12,grains
5.05427E+12,grains
5.0544E+12,grains
5.05427E+12,grains
5.09908E+12,grains
3015162,fruit_veg
50019946,fruit_veg
50019953,fruit_veg
50019960,fruit_veg
50020140,fruit_veg
50020287,fruit_veg
50191659,fruit_veg
50225989,fruit_veg
50980789,fruit_veg
50981120,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.0102E+12,fruit_veg
5.01106E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.03102E+12,fruit_veg
5.03102E+12,fruit_veg
5.05232E+12,fruit_veg
5.05232E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.0544E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.05395E+12,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
50717323,fruit_veg
3015186,fruit_veg
50981137,fruit_veg
5.01284E+12,fruit_veg
50020157,fruit_veg
5.00023E+12,fruit_veg
5.01284E+12,fruit_veg
5.05427E+12,fruit_veg
5.00023E+12,fruit_veg
50019977,fruit_veg
5.01284E+12,fruit_veg
5.05232E+12,fruit_veg
50191673,fruit_veg
5.03102E+12,fruit_veg
5.09892E+12,fruit_veg
5.0102E+12,fruit_veg
5.05427E+12,fruit_veg
5.0544E+12,fruit_veg
5.01284E+12,fruit_veg
50019984,fruit_veg
5.00039E+12,fruit_veg
5.01284E+12,fruit_veg
5.03102E+12,fruit_veg
5.0102E+12,fruit_veg
5.05114E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
5.0102E+12,fruit_veg
5.05114E+12,fruit_veg
50980857,fruit_veg
50019991,fruit_veg
5.00039E+12,fruit_veg
5.01284E+12,fruit_veg
5.05427E+12,fruit_veg
50191680,fruit_veg
5.01284E+12,fruit_veg
5.05291E+12,fruit_veg
5.01284E+12,fruit_veg
3011300,fruit_veg
5.0102E+12,fruit_veg
50981168,fruit_veg
5.00023E+12,fruit_veg
5.09892E+12,fruit_veg
5.05427E+12,fruit_veg
5.05427E+12,fruit_veg
5.05427E+12,fruit_veg
5.0301E+12,fruit_veg
5.0301E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.05291E+12,fruit_veg
5.01284E+12,fruit_veg
5.03102E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.09892E+12,fruit_veg
5.01106E+12,fruit_veg
5.01106E+12,fruit_veg
5.09892E+12,fruit_veg
50020171,fruit_veg
3011225,fruit_veg
50020065,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
50020263,fruit_veg
5.0544E+12,fruit_veg
5.05232E+12,fruit_veg
5.05232E+12,fruit_veg
5.00023E+12,fruit_veg
3011355,fruit_veg
3011362,fruit_veg
5.011E+12,fruit_veg
5.03102E+12,fruit_veg
3013496,fruit_veg
5.00023E+12,fruit_veg
50225514,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.0102E+12,fruit_veg
5.0102E+12,fruit_veg
5.0102E+12,fruit_veg
5.05427E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.03102E+12,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
50019939,fruit_veg
5.01284E+12,fruit_veg
50980390,fruit_veg
50787920,fruit_veg
50981045,fruit_veg
50981250,fruit_veg
50981175,fruit_veg
5.01284E+12,fruit_veg
50981281,fruit_veg
5.01284E+12,fruit_veg
5.01284E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.05427E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.01284E+12,fruit_veg
50757848,fruit_veg
5.01284E+12,fruit_veg
7.31131E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
5.0102E+12,fruit_veg
5.0102E+12,fruit_veg
5.0102E+12,fruit_veg
3011461,fruit_veg
5.03102E+12,fruit_veg
5.03102E+12,fruit_veg
5.03102E+12,fruit_veg
5.03102E+12,fruit_veg
5.0544E+12,fruit_veg
3011287,fruit_veg
3011317,fruit_veg
3011294,fruit_veg
50019915,fruit_veg
5.00023E+12,fruit_veg
50225279,fruit_veg
50225293,fruit_veg
50020034,fruit_veg
50020058,fruit_veg
50020270,fruit_veg
50191390,fruit_veg
50191406,fruit_veg
50191635,fruit_veg
5.05427E+12,fruit_veg
5.05427E+12,fruit_veg
5.05427E+12,fruit_veg
5.05427E+12,fruit_veg
5.05427E+12,fruit_veg
50191734,fruit_veg
5.00023E+12,fruit_veg
5.00023E+12,fruit_veg
50020256,fruit_veg
5.00023E+12,fruit_veg
7.31131E+12,fruit_veg
5.00036E+12,fruit_veg
5.0301E+12,fruit_veg
5.00023E+12,fruit_veg
5.00039E+12,fruit_veg
5.00039E+12,fruit_veg
5.00039E+12,fruit_veg
5.00039E+12,fruit_veg
5.01106E+12,fruit_veg
5.01106E+12,fruit_veg
50020041,fruit_veg
50020089,fruit_veg
50020232,fruit_veg
3015179,fruit_veg
3018675,fruit_veg
50020317,fruit_veg
50020324,fruit_veg
5.00023E+12,fruit_veg
5.01102E+12,fruit_veg
5.01284E+12,fruit_veg
5.05101E+12,fruit_veg
5.05291E+12,fruit_veg
5.05395E+12,fruit_veg
5.05395E+12,fruit_veg
5.09873E+12,fruit_veg
7.31131E+12,fruit_veg
7.31131E+12,fruit_veg
3011409,fruit_veg
7.31131E+12,fruit_veg
3.1663E+12,fruit_veg
5.05179E+12,fruit_veg
5.00023E+12,fruit_veg
3011416,fruit_veg
5.01002E+12,fruit_veg
50020331,fruit_veg
3011393,fruit_veg
7.31131E+12,fruit_veg
7.31131E+12,fruit_veg
5.01102E+12,fruit_veg
5.05232E+12,fruit_veg
50020348,fruit_veg
7.31131E+12,fruit_veg
50020669,fruit_veg
5.05114E+12,fruit_veg
50020522,fruit_veg
3011119,fruit_veg
50020355,fruit_veg
3013519,fruit_veg
7.31131E+12,fruit_veg
5.00023E+12,fruit_veg
5.05179E+12,fruit_veg
5.00023E+12,fruit_veg
50993970,fruit_veg
